cell1_type5_3,cell2_type5_3,cell9_type5_3,cell12_type5_2,cell16_type5_2,cell17_type5_2,cell20_type5_2,cell22_type5_2,cell23_type4_1,cell26_type5_3,cell27_type5_2,cell29_type5_2,cell32_type5_3,cell35_type5_2,cell36_type5_2,cell37_type5_2,cell40_type5_2,cell41_type4_1,cell46_type4_1,cell47_type5_2,cell48_type5_3,cell50_type5_3,cell51_type4_1,cell56_type4_1,cell57_type4_1,cell63_type5_2,cell65_type5_2,cell68_type5_2,cell72_type5_3,cell76_type5_2,cell86_type5_2,cell87_type4_1,cell89_type5_2,cell94_type4_1,cell96_type5_3,cell99_type5_3,cell103_type5_2,cell104_type5_2,cell105_type5_3,cell112_type5_3,cell113_type5_3,cell114_type5_3,cell117_type5_3,cell121_type5_3,cell124_type4_1,cell125_type4_1,cell128_type5_3,cell132_type5_3,cell135_type5_3,cell137_type5_3,cell138_type5_3,cell140_type4_1,cell141_type5_2,cell142_type5_2,cell143_type5_2,cell144_type5_2,cell145_type5_3,cell146_type5_3,cell149_type5_3,cell161_type5_2,cell163_type4_1,cell164_type4_1,cell166_type5_3,cell169_type5_2,cell170_type4_1,cell172_type4_1,cell179_type4_1,cell180_type5_3,cell181_type4_1,cell185_type5_2,cell190_type5_3,cell198_type5_2,cell203_type4_1,cell204_type5_3,cell205_type4_1,cell207_type4_1,cell210_type5_3,cell213_type5_3,cell220_type5_2,cell221_type4_1,cell222_type5_3,cell225_type5_2,cell227_type5_2,cell231_type4_1,cell232_type4_1,cell235_type5_2,cell236_type5_2,cell237_type4_1,cell238_type4_1,cell249_type5_3,cell251_type5_2,cell252_type5_3,cell256_type5_3,cell260_type5_3,cell263_type5_3,cell264_type4_1,cell265_type5_2,cell273_type5_2,cell274_type5_3,cell275_type5_3,cell278_type5_3,cell279_type5_2,cell282_type5_3,cell285_type5_2,cell287_type5_2,cell288_type4_1,cell290_type5_3,cell292_type4_1,cell300_type5_3,cell302_type4_1,cell305_type5_3,cell310_type5_3,cell311_type5_2,cell315_type5_3,cell318_type5_3,cell320_type5_2,cell322_type5_3,cell323_type5_2,cell326_type5_2,cell329_type5_2,cell330_type5_3,cell333_type4_1,cell335_type4_1,cell340_type5_3,cell342_type5_2,cell346_type5_2,cell354_type5_2,cell359_type5_2,cell361_type5_2,cell363_type4_1,cell369_type5_2,cell374_type4_1,cell379_type4_1,cell389_type5_3,cell395_type5_3,cell396_type5_3,cell398_type5_2,cell401_type4_1,cell404_type4_5,cell405_type4_1,cell407_type4_5,cell410_type4_1,cell411_type4_1,cell415_type4_5,cell425_type4_5,cell430_type4_1,cell434_type4_1,cell438_type4_5,cell451_type4_5,cell455_type4_1,cell456_type4_5,cell458_type4_5,cell462_type4_5,cell463_type4_5,cell466_type4_5,cell467_type4_1,cell470_type4_1,cell474_type4_5,cell475_type4_5,cell479_type4_5,cell480_type4_5,cell481_type4_1,cell482_type4_5,cell484_type4_5,cell485_type4_5,cell489_type4_5,cell492_type4_5,cell493_type4_1,cell494_type4_5,cell495_type4_5,cell496_type4_1,cell500_type4_5,cell501_type4_5,cell503_type4_5,cell504_type4_1,cell505_type4_1,cell509_type4_1,cell512_type4_1,cell515_type4_5,cell518_type4_5,cell519_type4_5,cell521_type4_1,cell524_type4_5,cell530_type4_5,cell531_type4_1,cell532_type4_5,cell533_type4_5,cell536_type4_1,cell539_type4_5,cell541_type4_5,cell542_type4_5,cell547_type4_1,cell549_type4_5,cell550_type4_5,cell555_type4_5,cell557_type4_5,cell561_type4_5,cell563_type4_1,cell565_type4_5,cell567_type4_5,cell568_type4_1,cell571_type4_5,cell572_type4_5,cell576_type4_5,cell584_type4_5,cell585_type4_5,cell587_type4_5,cell588_type4_5,cell590_type4_5,cell593_type4_5,cell600_type4_5,cell601_type4_1,cell602_type4_1,cell609_type4_5,cell611_type4_5,cell617_type4_1,cell618_type4_5,cell621_type4_1,cell623_type4_1,cell624_type4_5,cell625_type4_5,cell626_type4_5,cell629_type4_5,cell631_type4_5,cell633_type4_5,cell637_type4_1,cell640_type4_1,cell645_type4_1,cell646_type4_5,cell649_type4_5,cell650_type4_5,cell658_type4_1,cell669_type4_1,cell675_type4_5,cell684_type4_1,cell686_type4_1,cell687_type4_1,cell688_type4_5,cell690_type4_1,cell691_type4_5,cell698_type4_5,cell701_type4_5,cell703_type4_5,cell706_type4_1,cell707_type4_5,cell713_type4_5,cell716_type4_1,cell720_type4_5,cell721_type4_1,cell729_type4_5,cell730_type4_5,cell731_type4_1,cell733_type4_5,cell734_type4_5,cell745_type4_5,cell746_type4_5,cell756_type4_5,cell757_type4_1,cell760_type4_5,cell762_type4_1,cell767_type4_5,cell770_type4_5,cell775_type4_5,cell778_type4_1,cell779_type4_5,cell786_type4_5,cell787_type4_5,cell790_type4_5,cell794_type4_1,cell796_type4_1
1,0,0,1,1,2,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,32,7,0,0,0,0,0,13,0,0,7,0,0,0,0,0,21,0,0,0,0,0,4,0,0,0,0,19,31,0,0,36,0,0,13,0,24,10,0,0,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,14,0,6,0,0,0,0,18,28,0,0,0,32,0,0,0,0,0,2,0,0,0,0,17,0,0,0,0,0,0,14,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,32,0,6,0,0,0,0,8,0,16,0,0,24,0,44,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,25,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,0,0,0,0,35,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,0,45,0,0,0,27,0,0,0,0,0,28,0,0,61,12,0,0,0
0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,2,1,1,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,1,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,3,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,19,7,0,0,0,0,0,4,0,9,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,0,0,0,4,0,6,0,9,0,0,1,9,0,0,5,0,0,0,0,2,7,0,5,0,4,0,0,2,0,0,18,0,0,0,5,0,0,0,0,5,5,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,25,15,0,0,9,0,0,0,0,22,0,0,0,0,0,0,0,0,0,1,25,0,0,6,0,6,0,8,0,0,0,0,8,0,18,0,5,3,0,0,6,0,0,0,3,0,11,0,0,23,0,0,0,2,11,2,0,0,0,0,0,0,14,0,0,4,0,0,6,0,0,0,0,5,1,0,6,0,0,0,3,0,0,0,0,0,0,2,0,0,0,3,4,0,0,0,3,0,6,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,5,0,0,0,0,0,0,0,11,0,0,0,5,0,6,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,3,0,0,3,2,0,1,0,0,0,0,0,1,3,0,1,2,0,3,4,0,2,0,0,0,2,0,0,1,4,3,0,0,7,3,5,0,1,3,0,3,1,0,2,3,0,8,0,0,0,0,1,3,0,0,4,4,0,1,3,1,1,0,4,0,2,0,3,4,7,3,2,0,0,1,1,2,0,6,2,0,0,5,1,2,0,3,2,4,3,4,0,0,1,2,0,0,2,0,0,4,2,5,1,5,0,2,1,0,1,1,2,0,0,3,0,5,1,1,0,1,1,1,2,4,2,6,4,3,0,7,1,6,0,0,0,1,9,1,2,4,2,3,0,0,0,1,0,1,1,0,1,2,1,2,1,3,2,1,0,2,0,1,0,4,2,11,4,5,1,3,1,4,0,0,4,3,0,0,1,2,4,4,0,2,1,2,4,3,0,1,6,0,4,3,3,5,1,3,9,0,2,6,2,6,2,1,2,2,6,2,8,0,4,3,3,1,1,4,1,0,2,2,1,1,0,1,2,6,2,0,1,3,4,6,1,3,2,1,3,3,1,7,1,2,4,1,3,4,1,3,4,5,1,3,6,0,4,3,1,3,1,5,0,0
0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,2,1,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,1,2,0,0
0,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,6,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,5,0,2,0,0,4,0,1,0,0,0,0,4,0,0,14,5,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,2,0,0,0,0,6,0,0,0,0,0,0,4,3,2,0,0,1,6,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,3,6,2,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,9,8,0,0,3,0,11,0,26,23,41,0,9,0,17,5,7,5,0,0,2,9,0,8,0,17,24,3,0,0,1,15,7,3,11,5,0,4,9,10,10,5,24,9,0,0,0,0,0,9,10,0,0,12,0,0,8,7,6,25,0,8,0,0,9,17,16,0,0,24,0,0,4,0,0,0,6,0,21,0,0,6,19,5,10,6,11,0,7,8,0,4,0,9,0,10,13,9,0,9,0,0,0,8,19,5,8,9,0,12,13,27,7,8,19,10,5,13,13,0,0,2,0,16,26,8,0,0,0,7,0,14,10,5,0,0,9,10,0,0,0,0,2,0,0,4,4,7,3,0,12,19,6,37,0,0,0,10,0,12,17,0,10,0,0,0,9,6,6,9,10,13,22,0,0,0,15,7,0,8,0,0,6,2,0,0,5,12,18,11,0,7,0,0,0,5,0,8,20,0,0,0,25,17,0,0,8,18,0,0,0,8,6,0,0,0,0,5,25,15,0,4,0,7,0,4,0,12,0,0,30,6,2,5,0,24,0,0,47,10,4,7,0,8,21,5,0,12,0,0,4,13,22,12,12,7,7,0,16,6,10,0
0,2,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,2,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,1,0,2,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,0,4,0,9,2,7,6,1,2,9,3,2,1,0,5,0,2,2,1,6,2,0,0,2,5,8,2,3,2,1,4,1,4,0,2,5,1,5,11,3,2,10,0,2,1,10,2,1,1,1,2,5,3,3,0,4,1,1,6,2,0,6,2,1,1,3,0,3,2,1,1,2,0,4,4,1,0,3,2,5,0,0,0,2,0,0,0,1,4,0,1,6,0,0,2,1,3,0,2,2,0,0,2,7,1,0,3,0,0,2,2,4,0,1,4,1,5,3,0,0,0,0,3,1,5,2,2,2,0,4,2,1,2,0,2,6,5,4,4,2,4,3,3,5,4,0,0,1,1,0,2,1,2,0,2,5,0,4,2,1,2,1,1,1,0,8,0,1,0,3,0,0,12,0,5,6,1,1,1,5,10,6,0,1,0,7,4,1,0,0,0,2,0,0,0,4,0,0,4,0,1,1,3,0,0,0,0,0,0,2,4,2,0,4,5,1,0,3,3,1,1,1,3,0,0,2,2,3,1,0,0,5,2,3,1,0,0,5,0,1,2,1,0,2,1,0,3,1,0,0,0,4,0,2,0,2,0,5,0,1,7,2,1,2,4,0,4,0
0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
0,0,0,1,1,1,1,0,0,0,2,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,0,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,4,4,5,1,3,5,6,0,5,4,3,1,6,5,2,3,0,0,4,0,0,2,2,3,3,4,2,0,6,5,0,1,0,0,2,4,1,4,1,0,0,2,4,0,0,1,0,2,10,3,0,0,3,2,4,0,1,1,5,0,0,1,0,0,0,0,2,0,9,2,4,0,1,0,0,3,0,1,0,0,2,3,0,0,1,11,0,3,2,1,0,1,0,1,0,5,4,0,8,1,5,3,4,1,1,1,2,1,1,0,0,1,1,0,0,6,1,1,0,0,0,1,2,0,4,6,1,4,6,0,0,2,4,1,0,0,1,0,0,4,0,1,4,7,0,0,0,8,0,7,2,3,4,2,3,0,0,5,6,1,2,0,1,2,0,0,0,3,0,0,1,1,0,0,0,0,0,2,1,0,0,2,0,0,1,0,0,0,4,2,0,0,4,3,4,2,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,6,0,0,0,0,0,2,6,0,0,0,2,0,3,1,2,0,4,0,0,0,0,0,0,0,2
